I, [2022-08-03T10:15:29.382975 #48814]  INFO -- Kitchen: -----> Starting Test Kitchen (v3.3.1)
E, [2022-08-03T10:15:29.383382 #48814] ERROR -- Kitchen: ------Exception-------
E, [2022-08-03T10:15:29.383426 #48814] ERROR -- Kitchen: Class: Kitchen::UserError
E, [2022-08-03T10:15:29.383448 #48814] ERROR -- Kitchen: Message: Kitchen YAML file /Users/ssayed/overlays/forks/cms-ars-5.0-red-hat-enterprise-linux-8-stig-overlay/kitchen.yml does not exist.
E, [2022-08-03T10:15:29.383466 #48814] ERROR -- Kitchen: ----------------------
E, [2022-08-03T10:15:29.383483 #48814] ERROR -- Kitchen: ------Backtrace-------
E, [2022-08-03T10:15:29.383498 #48814] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/test-kitchen-3.3.1/lib/kitchen/loader/yaml.rb:65:in `read'
E, [2022-08-03T10:15:29.383519 #48814] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/test-kitchen-3.3.1/lib/kitchen/config.rb:153:in `data'
E, [2022-08-03T10:15:29.383541 #48814] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/test-kitchen-3.3.1/lib/kitchen/config.rb:131:in `suites'
E, [2022-08-03T10:15:29.383566 #48814] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/test-kitchen-3.3.1/lib/kitchen/config.rb:183:in `filter_instances'
E, [2022-08-03T10:15:29.383583 #48814] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/test-kitchen-3.3.1/lib/kitchen/config.rb:142:in `build_instances'
E, [2022-08-03T10:15:29.383601 #48814] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/test-kitchen-3.3.1/lib/kitchen/config.rb:116:in `instances'
E, [2022-08-03T10:15:29.383616 #48814] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/test-kitchen-3.3.1/lib/kitchen/command.rb:109:in `filtered_instances'
E, [2022-08-03T10:15:29.383632 #48814] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/test-kitchen-3.3.1/lib/kitchen/command.rb:139:in `parse_subcommand'
E, [2022-08-03T10:15:29.383648 #48814] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/test-kitchen-3.3.1/lib/kitchen/command/action.rb:34:in `block in call'
E, [2022-08-03T10:15:29.383664 #48814] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/3.0.0/benchmark.rb:293:in `measure'
E, [2022-08-03T10:15:29.383681 #48814] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/test-kitchen-3.3.1/lib/kitchen/command/action.rb:33:in `call'
E, [2022-08-03T10:15:29.383697 #48814] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/test-kitchen-3.3.1/lib/kitchen/cli.rb:52:in `perform'
E, [2022-08-03T10:15:29.383713 #48814] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/test-kitchen-3.3.1/lib/kitchen/cli.rb:198:in `block (2 levels) in <class:CLI>'
E, [2022-08-03T10:15:29.383729 #48814] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/thor-1.2.1/lib/thor/command.rb:27:in `run'
E, [2022-08-03T10:15:29.383746 #48814] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/thor-1.2.1/lib/thor/invocation.rb:127:in `invoke_command'
E, [2022-08-03T10:15:29.383761 #48814] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/thor-1.2.1/lib/thor.rb:392:in `dispatch'
E, [2022-08-03T10:15:29.383778 #48814] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/thor-1.2.1/lib/thor/base.rb:485:in `start'
E, [2022-08-03T10:15:29.383794 #48814] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/test-kitchen-3.3.1/bin/kitchen:11:in `block in <top (required)>'
E, [2022-08-03T10:15:29.383811 #48814] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/test-kitchen-3.3.1/lib/kitchen/errors.rb:183:in `with_friendly_errors'
E, [2022-08-03T10:15:29.383830 #48814] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/test-kitchen-3.3.1/bin/kitchen:11:in `<top (required)>'
E, [2022-08-03T10:15:29.383845 #48814] ERROR -- Kitchen: /usr/local/bin/kitchen:389:in `load'
E, [2022-08-03T10:15:29.383880 #48814] ERROR -- Kitchen: /usr/local/bin/kitchen:389:in `<main>'
E, [2022-08-03T10:15:29.383898 #48814] ERROR -- Kitchen: ----End Backtrace-----
